2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: No sections found in M98-1009
2019-09-01 16:12:09,665| WARNING|          pdf_parser|            __call__: W10-1750 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: W10-1750 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: D18-1395 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: D18-1395 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: D18-1395 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: W19-4452 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: W16-4821 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: N19-4016 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: P18-2051 issue with getting a name from an author in paper
2019-09-01 16:12:09,666| WARNING|          pdf_parser|            __call__: J87-1005 issue with getting a name from an author in paper
